id,timestamp,source_ip,dest_ip,protocol,port,packet_size,packets_per_second,bytes_per_second,failed_connections,label
1,2026-05-04 08:00:01,192.168.1.10,10.0.0.1,HTTP,80,512,12,6144,0,normal
2,2026-05-04 08:00:03,192.168.1.11,10.0.0.1,HTTPS,443,1024,8,8192,0,normal
3,2026-05-04 08:00:05,192.168.1.12,10.0.0.1,HTTP,80,640,15,9600,1,normal
4,2026-05-04 08:00:07,192.168.1.13,8.8.8.8,DNS,53,128,20,2560,0,normal
5,2026-05-04 08:00:09,192.168.1.10,10.0.0.2,HTTPS,443,1200,10,12000,0,normal
6,2026-05-04 08:00:11,192.168.1.14,10.0.0.1,HTTP,80,480,18,8640,1,normal
7,2026-05-04 08:00:13,192.168.1.15,10.0.0.3,HTTPS,443,900,7,6300,0,normal
8,2026-05-04 08:00:15,192.168.1.16,8.8.8.8,DNS,53,150,25,3750,0,normal
9,2026-05-04 08:00:17,192.168.1.11,10.0.0.1,HTTP,80,560,14,7840,0,normal
10,2026-05-04 08:00:19,192.168.1.17,10.0.0.2,HTTPS,443,1100,9,9900,0,normal
11,2026-05-04 08:00:21,192.168.1.18,10.0.0.1,HTTP,80,500,16,8000,1,normal
12,2026-05-04 08:00:23,192.168.1.12,8.8.8.8,DNS,53,110,22,2420,0,normal
13,2026-05-04 08:00:25,192.168.1.19,10.0.0.1,HTTPS,443,980,11,10780,0,normal
14,2026-05-04 08:00:27,192.168.1.20,10.0.0.3,HTTP,80,620,13,8060,0,normal
15,2026-05-04 08:00:29,192.168.1.13,10.0.0.1,HTTPS,443,1050,8,8400,1,normal
16,2026-05-04 08:00:31,192.168.1.21,10.0.0.2,HTTP,80,470,17,7990,0,normal
17,2026-05-04 08:00:33,192.168.1.22,8.8.8.8,DNS,53,135,19,2565,0,normal
18,2026-05-04 08:00:35,192.168.1.14,10.0.0.1,HTTPS,443,1150,6,6900,0,normal
19,2026-05-04 08:00:37,192.168.1.23,10.0.0.1,HTTP,80,530,21,11130,0,normal
20,2026-05-04 08:00:39,192.168.1.24,10.0.0.3,HTTPS,443,870,10,8700,0,normal
21,2026-05-04 08:01:00,45.33.32.156,192.168.1.10,TCP,0,64,850,54400,0,ddos
22,2026-05-04 08:01:01,45.33.32.156,192.168.1.10,TCP,0,64,920,58880,0,ddos
23,2026-05-04 08:01:02,45.33.32.156,192.168.1.11,TCP,0,64,1100,70400,0,ddos
24,2026-05-04 08:01:03,45.33.32.156,192.168.1.10,UDP,0,64,780,49920,0,ddos
25,2026-05-04 08:01:04,185.220.101.5,192.168.1.1,TCP,0,64,660,42240,0,ddos
26,2026-05-04 08:02:00,203.0.113.50,192.168.1.5,TCP,22,60,110,6600,35,suspicious
27,2026-05-04 08:02:10,203.0.113.50,192.168.1.6,TCP,23,60,95,5700,42,suspicious
28,2026-05-04 08:02:20,203.0.113.51,192.168.1.5,TCP,3389,60,130,7800,28,suspicious
29,2026-05-04 08:02:30,203.0.113.52,192.168.1.8,TCP,8080,60,88,5280,31,suspicious
30,2026-05-04 08:02:40,198.51.100.77,192.168.1.9,TCP,445,60,145,8700,50,suspicious
31,2026-05-04 08:03:00,10.10.10.5,192.168.1.1,ICMP,0,1400,75,105000,3,suspicious
32,2026-05-04 08:03:10,10.10.10.6,192.168.1.2,UDP,1900,1472,90,132480,5,suspicious
33,2026-05-04 08:03:20,192.168.100.5,192.168.1.1,TCP,6667,800,55,44000,8,suspicious
34,2026-05-04 08:03:30,172.16.0.99,192.168.1.5,UDP,53,400,180,72000,12,suspicious
35,2026-05-04 08:03:40,10.0.0.200,192.168.1.10,TCP,4444,750,62,46500,9,suspicious
